loop_ms,infer_ms
7.455,6.271
7.324,6.490
6.903,6.040
7.467,6.541
7.790,6.567
8.381,7.255
30.461,28.978
7.174,5.962
7.048,6.174
8.128,7.167
8.628,7.677
8.239,6.932
7.897,6.733
7.823,6.540
7.044,6.048
8.796,7.458
36.148,35.105
9.773,8.501
10.415,9.439
10.983,9.935
9.950,8.701
9.529,8.473
10.102,8.771
10.934,9.905
10.106,9.161
9.852,8.673
36.001,34.864
10.671,9.059
7.271,6.293
8.200,6.149
7.417,6.378
7.455,6.402
7.046,6.115
7.810,6.835
8.366,6.718
8.499,6.747
29.248,27.694
7.500,6.143
7.089,6.051
6.922,5.979
7.540,6.657
9.645,8.693
9.627,8.709
9.991,8.898
10.460,9.196
10.186,8.830
39.835,38.896
9.619,8.466
8.972,8.052
10.898,9.877
9.501,8.254
9.541,8.638
9.563,8.623
7.824,6.902
6.780,5.869
7.457,5.661
30.561,29.661
7.863,6.826
7.228,6.200
7.526,5.872
7.099,6.066
6.937,6.061
6.824,5.979
7.679,6.680
8.315,7.046
9.658,8.526
35.701,34.745
9.310,7.978
9.052,8.170
10.046,8.985
9.336,8.220
9.171,8.116
9.428,8.337
10.048,9.029
9.916,8.923
10.273,8.744
31.234,30.310
7.683,6.694
7.699,6.416
7.880,6.445
7.531,6.515
7.179,6.258
7.157,6.239
7.768,6.780
8.949,7.910
9.652,7.945
30.653,28.803
8.955,7.496
11.732,9.809
8.785,7.727
7.865,6.557
7.975,6.904
8.406,7.456
9.266,7.996
7.661,6.327
8.090,6.657
29.695,28.596
8.369,7.323
8.032,6.509
9.142,7.451
8.188,7.064
7.919,6.960
8.116,7.081
10.968,9.870
9.558,8.212
8.216,7.044
31.638,30.560
7.716,6.590
7.372,6.291
10.424,8.874
9.986,8.358
8.307,7.195
9.514,7.969
9.562,7.934
11.695,10.133
8.405,7.140
28.028,27.059
7.338,6.127
9.154,7.590
7.887,6.411
7.200,6.027
6.862,5.853
7.340,6.432
7.553,6.625
7.645,6.629
7.451,6.447
28.414,27.357
7.414,6.490
8.190,6.821
8.201,6.835
7.293,6.344
7.619,6.763
7.338,6.450
7.581,6.717
8.855,7.620
8.033,6.617
30.096,28.576
9.149,7.913
9.957,8.865
10.136,9.083
9.994,9.052
10.164,9.288
9.592,8.651
11.419,9.743
11.354,9.410
9.080,8.145
49.302,48.004
14.328,13.396
14.440,13.246
14.242,13.286
14.489,13.349
14.237,13.283
15.480,14.421
13.654,12.495
18.847,17.877
14.315,13.256
35.709,33.835
13.238,12.327
14.927,12.953
13.191,11.870
15.149,13.484
13.860,12.768
15.008,13.803
14.565,13.565
14.541,13.272
14.304,13.243
35.842,34.453
13.986,13.108
14.598,13.633
13.502,12.284
14.721,13.697
13.036,11.779
13.066,12.049
16.178,14.321
12.911,11.870
13.961,12.918
34.973,33.824
13.422,12.511
15.164,14.145
13.035,12.149
14.839,13.730
13.720,12.413
13.698,12.702
16.742,15.574
15.095,14.041
13.919,11.997
33.535,32.618
18.008,16.859
17.797,16.511
18.902,17.632
19.593,18.537
15.849,14.000
17.682,15.885
15.198,13.533
15.668,14.407
14.860,13.806
36.876,35.463
11.209,8.722
8.186,6.932
9.632,8.021
7.963,6.709
8.043,6.948
9.517,8.296
7.659,6.456
8.957,7.681
7.829,6.594
34.623,33.361
13.756,12.865
18.382,17.370
15.090,13.898
18.367,16.945
18.577,17.356
14.684,13.399
15.693,14.179
13.611,12.689
15.103,14.092
38.365,37.100
16.133,14.967
15.201,14.088
16.248,14.211
15.472,13.855
13.568,12.454
13.131,12.184
15.695,14.400
13.346,12.287
13.627,12.086
34.878,33.953
14.304,12.927
13.473,12.150
13.747,12.588
13.372,11.817
13.528,12.621
13.751,12.536
14.064,13.138
15.225,14.124
15.070,13.953
28.464,26.647
7.635,6.608
8.612,7.419
9.079,7.277
8.437,7.275
8.047,7.068
9.474,8.265
7.347,6.427
8.102,6.197
6.935,5.685
34.245,33.188
13.903,13.000
14.422,13.405
12.797,11.486
14.696,13.620
13.638,12.291
15.644,14.429
20.428,19.119
24.276,23.029
19.505,18.615
50.638,47.947
20.778,19.883
22.265,19.392
19.100,17.388
16.062,13.598
14.651,13.691
15.198,14.051
16.237,14.127
17.273,15.387
14.535,13.587
32.867,31.910
13.409,12.258
13.790,12.859
14.296,13.295
13.524,12.485
13.845,12.827
13.521,12.093
13.189,12.108
14.063,13.074
14.144,12.952
33.411,32.263
13.510,12.626
14.686,13.207
13.628,12.429
14.180,12.874
14.533,13.628
14.599,13.372
13.863,12.594
13.059,12.064
14.021,12.721
28.012,27.088
7.275,6.309
8.195,6.780
8.942,7.212
7.328,6.352
9.394,8.451
8.272,7.390
7.717,6.410
9.052,7.259
7.434,6.288
33.269,32.305
13.801,12.007
13.268,12.400
13.745,12.220
15.335,14.455
14.383,12.321
19.138,17.089
17.788,15.372
17.969,15.788
18.048,15.608
30.448,29.458
7.799,6.886
7.663,6.504
8.738,7.010
8.360,7.429
8.121,6.595
7.258,6.383
6.814,5.787
7.250,6.055
7.356,6.445
28.464,27.594
7.977,6.813
8.386,6.963
7.925,6.618
8.011,7.123
7.463,6.595
9.174,8.098
8.579,7.271
7.311,6.371
7.690,6.648
29.294,28.405
8.349,6.657
9.783,7.039
8.353,6.946
8.261,7.299
7.516,6.626
7.978,6.972
9.486,7.106
7.297,6.252
7.594,6.704
28.737,27.736
8.012,6.410
8.137,6.809
7.396,5.945
7.913,6.933
8.580,7.635
8.875,7.821
7.424,6.211
7.556,6.518
7.966,6.867
28.608,27.548
8.260,6.454
9.368,7.191
7.571,5.934
8.866,7.859
8.775,7.352
7.678,6.477
8.279,6.725
9.020,7.966
7.804,6.306
27.934,26.961
8.525,6.817
8.045,6.612
9.167,8.234
12.538,9.774
12.085,10.113
14.354,10.691
10.634,8.320
10.064,7.808
10.194,7.587
30.894,29.249
8.139,6.681
8.691,7.359
9.446,8.045
9.766,7.803
7.810,6.496
8.138,7.115
8.262,7.088
7.608,6.076
10.607,8.291
35.740,34.766
10.241,9.009
9.233,8.060
9.808,8.583
10.535,9.152
10.055,8.624
11.672,9.601
10.214,8.842
10.561,9.588
9.641,8.638
32.702,31.053
7.948,6.634
8.008,6.198
8.538,7.555
8.298,7.327
10.834,8.324
9.777,8.279
7.162,6.038
8.238,6.864
